standards
card                    standard                                       population
build                   canonical                                      a canonical artifact: its source under standards/build/canonical/ and each governed repo's copy
build                   python                                         a governed repo's root Python project: pyproject.toml, the package under src/, and the Python under scripts/
build                   skeleton                                       a governed repo's tree, except standards/build/canonical/ in dev-playbook
decisions               records                                        a Decision Record: a numbered NNNN-slug.md file under a repo's docs/decisions/, except that directory's index.md and README.md
distribution            channel                                        a governed repo's share of the distribution channel: its hook manifest, its local block, and its pin on the hook repository
harness                 claude-content                                 a CLAUDE.md: a repo's root file, a nested <dir>/CLAUDE.md, or in dev-playbook the global source dotfiles/dot-claude/CLAUDE.md
harness                 runbook-conventions                            a runbook: a skill bundle or an agent definition under a governed repo's .claude/ or dev-playbook's dotfiles/dot-claude/
knowledge-organization  context-content                                a repo's CONTEXT.md
knowledge-organization  cross-references                               a reference from an authored document to a workspace file, directory, or skill, except inside a fenced code block, or from inside a numbered Decision Record
knowledge-organization  document-types                                 a concept document
knowledge-organization  documentation-sets/documentation-sets          a documentation set, the concept documents one index.md owns, except a numbered Decision Record or a type: Reference mirror among them
knowledge-organization  documentation-sets/working-documentation-sets  a working documentation set, the Markdown files one stream of in-process work accumulates
knowledge-organization  indexes                                        an index.md
knowledge-organization  loop-conventions                               a document typed Loop
knowledge-organization  readme-content                                 a README.md
knowledge-organization  type-registry                                  a document-type declaration: dev-playbook's `## Types` table, or a consumer's root-index `okf_types` mapping
modules                 design                                         a module in a governed repo's source: anything with an interface and an implementation
prose                   conventions                                    an authored document, except type: Reference and the paths in .prose-lint-exempt
python                  style                                          a Python file a governed repo tracks: a .py file, or an extensionless file with a Python shebang
shell                   conventions                                    a shell file in a governed repo
standard                cards                                          a repo's card catalog: the standards/<name>/ card directories and the standards/index.md that lists them
standard                detectors                                      a check the verifier table names, first-party at scripts/<name> or a dependency by its address, and the two tables at standards/verifiers.yaml and standards/boundaries.yaml
testing                 conventions                                    a governed repo's Python test suite: the test_*.py files anywhere in its tree, and the conftest.py and fake modules under tests/
tracking                issue-shapes                                   a GitHub issue in a governed repo
tracking                label-scheme                                   a governed repo's GitHub labels
tracking                repo-settings                                  a governed repo's GitHub settings: its merge settings and the rules in force on its default branch

rules
card                    standard                                       rule                                        when
harness                 runbook-conventions                            model-and-effort                            —
harness                 runbook-conventions                            model-invocation-flag                       skill
harness                 runbook-conventions                            name-matches-its-home                       —
harness                 runbook-conventions                            no-argument-placeholder                     skill
harness                 runbook-conventions                            references-one-level-deep                   skill
harness                 runbook-conventions                            skillmd-at-most-500-lines                   skill
harness                 runbook-conventions                            steps-end-on-a-completion-criterion         —
harness                 runbook-conventions                            tool-fields                                 skill
harness                 runbook-conventions                            tools                                       agent
knowledge-organization  context-content                                entry-shape                                 —
knowledge-organization  context-content                                glossary-only                               —
knowledge-organization  context-content                                project-terms-only                          —
knowledge-organization  context-content                                the-language-section                        —
knowledge-organization  context-content                                tight-definitions                           —
knowledge-organization  context-content                                vocabulary-type                             —
knowledge-organization  cross-references                               citation-another-repo                       —
knowledge-organization  cross-references                               fragment-anchor-matches-the-slug            —
knowledge-organization  cross-references                               inline-code-for-a-varying-location          no-fixed-repo-root
knowledge-organization  cross-references                               link-same-bundle                            fixed-repo-root
knowledge-organization  cross-references                               reference-resolves                          —
knowledge-organization  cross-references                               relative-path-inside-the-bundle             no-fixed-repo-root
knowledge-organization  cross-references                               skill-invocation                            —
knowledge-organization  cross-references                               stable-named-anchor                         —
knowledge-organization  cross-references                               workspace-path-for-a-stable-location        no-fixed-repo-root
knowledge-organization  document-types                                 description                                 —
knowledge-organization  document-types                                 description-voice                           —
knowledge-organization  document-types                                 frontmatter-block                           —
knowledge-organization  document-types                                 no-tags-or-timestamp                        —
knowledge-organization  document-types                                 recipe-description                          —
knowledge-organization  document-types                                 resource                                    —
knowledge-organization  document-types                                 resource-names-the-asset                    —
knowledge-organization  document-types                                 title                                       —
knowledge-organization  document-types                                 typed-loop                                  —
knowledge-organization  document-types                                 typed-standard-card-or-standard-ruleset     —
knowledge-organization  document-types                                 types                                       —
knowledge-organization  documentation-sets/documentation-sets          an-index-in-every-directory                 —
knowledge-organization  documentation-sets/documentation-sets          body-inside-its-concern                     —
knowledge-organization  documentation-sets/documentation-sets          distinct-concerns                           —
knowledge-organization  documentation-sets/documentation-sets          distinct-from-the-parent                    —
knowledge-organization  documentation-sets/documentation-sets          one-home                                    —
knowledge-organization  documentation-sets/documentation-sets          rows-inside-the-set                         —
knowledge-organization  documentation-sets/documentation-sets          terms-defined-once                          —
knowledge-organization  documentation-sets/documentation-sets          terms-that-cross-sets                       —
knowledge-organization  documentation-sets/working-documentation-sets  a-set-stands-on-main                        —
knowledge-organization  documentation-sets/working-documentation-sets  acronyms                                    —
knowledge-organization  documentation-sets/working-documentation-sets  buckets                                     —
knowledge-organization  documentation-sets/working-documentation-sets  speculative-voice                           —
knowledge-organization  documentation-sets/working-documentation-sets  terms                                       —
knowledge-organization  documentation-sets/working-documentation-sets  the-link-tree                               —
knowledge-organization  documentation-sets/working-documentation-sets  where-a-set-lives                           —
knowledge-organization  documentation-sets/working-documentation-sets  working-docs-holds-only-sets                —
knowledge-organization  documentation-sets/working-documentation-sets  worklist                                    —
knowledge-organization  indexes                                        okf-version-declared                        the-root-index
knowledge-organization  indexes                                        ordering                                    —
knowledge-organization  indexes                                        the-introduction                            —
knowledge-organization  indexes                                        the-listing                                 —
knowledge-organization  indexes                                        the-opening-sentence                        —
knowledge-organization  indexes                                        typeless                                    —
knowledge-organization  loop-conventions                               an-act-links-a-runbook                      —
knowledge-organization  loop-conventions                               edges-follow-the-shape                      —
knowledge-organization  loop-conventions                               entries-point-and-condition                 —
knowledge-organization  loop-conventions                               nodes-and-entries-agree                     —
knowledge-organization  loop-conventions                               one-graph                                   —
knowledge-organization  loop-conventions                               three-verb-sections                         —
knowledge-organization  loop-conventions                               what-the-paragraph-says                     —
knowledge-organization  readme-content                                 h1                                          —
knowledge-organization  readme-content                                 no-agent-instructions-or-decisions          —
knowledge-organization  readme-content                                 no-roster-of-harness-injected-files         —
knowledge-organization  readme-content                                 the-purpose-sentence                        —
knowledge-organization  type-registry                                  add-never-shadow                            local-declaration
knowledge-organization  type-registry                                  alphabetical-keys                           local-declaration
knowledge-organization  type-registry                                  alphabetical-order                          global-table
knowledge-organization  type-registry                                  mapping-entry-shape                         local-declaration
knowledge-organization  type-registry                                  row-description                             global-table
knowledge-organization  type-registry                                  row-shape                                   global-table
modules                 design                                         a-port-at-a-process-boundary                —
modules                 design                                         deep-not-shallow                            —
modules                 design                                         dependencies-are-accepted-not-constructed   —
modules                 design                                         internal-seams-stay-inside                  —
modules                 design                                         results-are-returned-not-written            —
modules                 design                                         the-interface-is-the-test-surface           —
modules                 design                                         two-adapters-or-no-seam                     —
prose                   conventions                                    block-form-fits-its-content                 —
prose                   conventions                                    current-state-and-next-steps-only           —
prose                   conventions                                    declarative-present-tense                   —
prose                   conventions                                    declare-before-use                          —
prose                   conventions                                    grammatical-parallelism                     —
prose                   conventions                                    heading-casing                              —
prose                   conventions                                    name-concepts-once-use-consistently         —
prose                   conventions                                    no-first-person                             harness-loaded-agent-instructions
prose                   conventions                                    no-slop-tics                                —
prose                   conventions                                    one-rule-one-place                          —
prose                   conventions                                    open-with-purpose                           —
prose                   conventions                                    point-at-canonical-artifacts                —
prose                   conventions                                    positive-statement                          —
prose                   conventions                                    spelling                                    —
prose                   conventions                                    terminology-the-person-is-the-user          —
prose                   conventions                                    the-banned-word                             —
prose                   conventions                                    third-person                                declarative-documents
python                  style                                          annotated-signatures                        —
python                  style                                          docstring-content                           —
python                  style                                          docstrings                                  —
python                  style                                          empty-init                                  —
python                  style                                          fail-loudly                                 —
python                  style                                          formatted-by-ruff-format                    —
python                  style                                          helper-justification                        —
python                  style                                          helper-placement                            —
python                  style                                          module-layout                               —
python                  style                                          no-future-annotations                       —
shell                   conventions                                    bash-declared                               —
shell                   conventions                                    bounded-to-shell-integration                sourced-fragments
shell                   conventions                                    dialect-directive                           sourced-fragments
shell                   conventions                                    disable-carries-a-reason                    —
shell                   conventions                                    formatting                                  —
shell                   conventions                                    glue-only                                   executable-scripts
shell                   conventions                                    no-shebang-no-strict-mode                   sourced-fragments
shell                   conventions                                    shellcheck-clean                            —
shell                   conventions                                    strict-mode                                 executable-scripts
standard                cards                                          audit-cites-a-lint                          —
standard                cards                                          define-points-only-at-rulesets              —
standard                cards                                          directory-layout                            —
standard                cards                                          no-shadowing                                —
standard                cards                                          the-catalog                                 —
standard                cards                                          the-directorys-introduction                 —
standard                cards                                          the-question-sentence                       —
standard                detectors                                      a-consumer-adds-only-its-own-rules          the-verifier-table
standard                detectors                                      an-absent-surface-is-clean                  —
standard                detectors                                      an-address-exists                           the-verifier-table
standard                detectors                                      an-emitted-id-is-a-rule-heading             the-verifier-table
standard                detectors                                      every-address-runs-somewhere                the-boundary-table
standard                detectors                                      exit-codes                                  a-first-party-detector
standard                detectors                                      finding-format                              a-first-party-detector
standard                detectors                                      git-runs-against-the-given-root             a-first-party-detector
standard                detectors                                      list-rules                                  a-first-party-detector
standard                detectors                                      offered-by-the-canonical-template           a-first-party-detector
standard                detectors                                      read-only                                   —
standard                detectors                                      the-hosting-pattern                         a-first-party-detector
standard                detectors                                      thin-shims                                  a-first-party-detector
testing                 conventions                                    access-only-public-names                    —
testing                 conventions                                    arrange-act-assert                          —
testing                 conventions                                    assert-on-observable-outputs                —
testing                 conventions                                    assert-on-outcomes-not-call-sequences       —
testing                 conventions                                    conftest-hierarchy                          —
testing                 conventions                                    double-at-the-port                          —
testing                 conventions                                    expected-values-come-from-outside-the-code  —
testing                 conventions                                    fakes-for-stateful-dependencies             —
testing                 conventions                                    fakes-implement-only-what-callers-use       —
testing                 conventions                                    fakes-live-in-the-test-tree                 —
testing                 conventions                                    fixtures-for-setup-and-teardown             —
testing                 conventions                                    mirror-source-structure                     —
testing                 conventions                                    mocks-at-boundaries-only                    —
testing                 conventions                                    name-by-capability-not-mechanism            —
testing                 conventions                                    narrowest-fixture-scope                     —
testing                 conventions                                    no-logic-in-tests                           —
testing                 conventions                                    no-test-of-a-non-deterministic-decision     —
testing                 conventions                                    one-concept-per-test                        —
testing                 conventions                                    one-fake-per-interface                      —
testing                 conventions                                    pytest                                      —
testing                 conventions                                    replace-dont-layer                          —
testing                 conventions                                    test-file-naming                            —
testing                 conventions                                    the-lightest-double                         —
testing                 conventions                                    the-mocking-library                         —
tracking                issue-shapes                                   a-stable-body                               session-leaf
tracking                issue-shapes                                   behavioural-not-procedural                  —
tracking                issue-shapes                                   build-headings                              build-leaf
tracking                issue-shapes                                   build-labels                                build-leaf
tracking                issue-shapes                                   category-only                               epic
tracking                issue-shapes                                   closed-fences                               —
tracking                issue-shapes                                   epic-headings                               epic
tracking                issue-shapes                                   no-child-list                               epic
tracking                issue-shapes                                   one-goal                                    —
tracking                issue-shapes                                   session-headings                            session-leaf
tracking                issue-shapes                                   session-labels                              session-leaf
tracking                issue-shapes                                   spike-headings                              spike
tracking                issue-shapes                                   spike-labels                                spike
tracking                issue-shapes                                   standing-rulings                            epic
tracking                issue-shapes                                   ticket-parentage                            wayfinder-map-or-ticket
tracking                issue-shapes                                   user-intent                                 —
tracking                issue-shapes                                   wayfinder-body                              wayfinder-map-or-ticket
tracking                issue-shapes                                   wayfinder-labels                            wayfinder-map-or-ticket
tracking                issue-shapes                                   written-for-the-user                        —
tracking                label-scheme                                   valid-labels                                —
tracking                repo-settings                                  default-branch-protection                   —
tracking                repo-settings                                  github-origin                               —
tracking                repo-settings                                  squash-only-merges                          —
